id,name,type,ordered,laid_down,commissioned,launched,fate,fate_type,fate_survivors,fate_lat,fat_lon,fate_dead,shipyard,ships_sunk
275,U-275,VIIC,04/10/41,1/18/1942,11/25/1942,10/08/42,03/10/45,Sunk,0,50.36,0.04,48,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",1
276,U-276,VIIC,04/10/41,2/24/1942,12/09/42,10/24/1942,9/29/1944,Decommissioned,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
277,U-277,VIIC,04/10/41,03/03/42,12/21/1942,11/07/42,05/01/44,Sunk,0,73.24,15.32,50,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
278,U-278,VIIC,04/10/41,3/26/1942,1/16/1943,12/02/42,05/09/45,Surrendered,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",1
279,U-279,VIIC,04/10/41,3/31/1942,02/03/43,12/16/1942,10/04/43,Sunk,0,60.4,-26.3,48,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
280,U-280,VIIC,06/05/41,4/30/1942,2/13/1943,01/04/43,11/16/1943,Sunk,0,49.11,-27.32,49,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
281,U-281,VIIC,06/05/41,05/07/42,2/27/1943,1/16/1943,05/09/45,Surrendered,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
282,U-282,VIIC,06/05/41,06/02/42,3/13/1943,02/03/43,10/29/1943,Sunk,0,55.28,-31.57,48,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
283,U-283,VIIC,06/05/41,06/10/42,3/31/1943,2/17/1943,02/11/44,Sunk,0,60.45,-12.5,49,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
284,U-284,VIIC,06/05/41,07/01/42,4/14/1943,03/06/43,12/21/1943,Scuttled,49,55.04,-30.23,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
285,U-285,VIIC,06/05/41,07/07/42,5/15/1943,04/03/43,4/15/1945,Sunk,0,50.13,-12.48,44,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
286,U-286,VIIC,06/05/41,08/03/42,06/05/43,4/21/1943,4/29/1945,Sunk,0,69.29,33.37,51,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",1
287,U-287,VIIC,06/05/41,08/08/42,9/22/1943,8/13/1943,5/16/1945,Scuttled,44,53.5,8.5,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
288,U-288,VIIC,06/05/41,09/07/42,6/26/1943,5/15/1943,04/03/44,Sunk,0,73.44,27.12,49,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
289,U-289,VIIC,06/05/41,09/12/42,07/10/43,5/25/1943,5/31/1944,Sunk,0,73.32,0.28,51,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
290,U-290,VIIC,06/05/41,10/12/42,7/24/1943,6/16/1943,05/05/45,Scuttled,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
291,U-291,VIIC,06/05/41,10/17/1942,08/04/43,6/30/1943,05/05/45,Surrendered,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
292,U-292,VIIC/41,10/14/1941,11/12/42,8/25/1943,7/20/1943,5/27/1944,Sunk,0,62.37,0.57,51,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
293,U-293,VIIC/41,10/14/1941,11/17/1942,09/08/43,7/30/1943,05/11/45,Surrendered,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",1
294,U-294,VIIC/41,10/14/1941,12/22/1942,10/04/43,8/27/1943,05/09/45,Surrendered,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
295,U-295,VIIC/41,10/14/1941,12/31/1942,10/20/1943,9/13/1943,05/09/45,Surrendered,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",1
296,U-296,VIIC/41,10/14/1941,1/23/1943,11/03/43,09/05/43,03/12/45,Sunk,0,55.3,-7,42,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
297,U-297,VIIC/41,10/14/1941,1/27/1943,11/17/1943,10/09/43,12/06/44,Sunk,0,59,-3.54,50,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
298,U-298,VIIC/41,3/23/1942,2/23/1943,12/01/43,10/25/1943,05/09/45,Surrendered,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
299,U-299,VIIC/41,3/23/1942,03/01/43,12/15/1943,11/06/43,05/09/45,Surrendered,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
300,U-300,VIIC/41,3/23/1942,04/09/43,12/29/1943,11/23/1943,2/22/1945,Sunk,41,36.29,-8.2,9,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",2
301,U-301,VIIC,08/06/40,02/12/41,05/09/42,3/25/1942,1/21/1943,Sunk,0,41.27,7.04,45,"Flender Werke AG, Lubeck",0
302,U-302,VIIC,08/06/40,04/02/41,6/16/1942,4/25/1942,04/06/44,Sunk,0,45.05,-35.11,51,"Flender Werke AG, Lubeck",3
303,U-303,VIIC,12/07/40,6/14/1941,07/07/42,5/16/1942,5/21/1943,Sunk,28,42.5,6,20,"Flender Werke AG, Lubeck",1
304,U-304,VIIC,12/07/40,6/26/1941,08/05/42,6/13/1942,5/28/1943,Sunk,0,54.5,-37.2,46,"Flender Werke AG, Lubeck",0
305,U-305,VIIC,1/20/1941,8/30/1941,9/17/1942,7/25/1942,1/16/1944,Sunk,0,,,51,"Flender Werke AG, Lubeck",2
306,U-306,VIIC,1/20/1941,9/16/1941,10/21/1942,8/29/1942,10/31/1943,Sunk,0,46.19,-20.44,51,"Flender Werke AG, Lubeck",1
307,U-307,VIIC,1/20/1941,11/05/41,11/18/1942,9/30/1942,4/29/1945,Sunk,14,69.24,33.44,37,"Flender Werke AG, Lubeck",2
308,U-308,VIIC,1/20/1941,11/05/41,12/23/1942,10/31/1942,06/04/43,Sunk,0,64.28,-3.09,44,"Flender Werke AG, Lubeck",0
309,U-309,VIIC,06/05/41,1/24/1942,1/27/1943,12/05/42,2/16/1945,Sunk,0,58.09,-2.23,47,"Flender Werke AG, Lubeck",1
310,U-310,VIIC,06/05/41,1/30/1942,2/24/1943,01/03/43,05/09/45,Surrendered,0,,,0,"Flender Werke AG, Lubeck",2
311,U-311,VIIC,06/05/41,3/21/1942,3/23/1943,1/20/1943,4/22/1944,Sunk,0,52.09,-19.07,51,"Flender Werke AG, Lubeck",1
312,U-312,VIIC,06/05/41,04/10/42,4/21/1943,2/27/1943,05/09/45,Surrendered,0,,,0,"Flender Werke AG, Lubeck",0
313,U-313,VIIC,8/25/1941,05/11/42,5/20/1943,3/27/1943,05/09/45,Surrendered,0,,,0,"Flender Werke AG, Lubeck",0
314,U-314,VIIC,8/25/1941,06/09/42,06/10/43,4/17/1943,1/30/1944,Sunk,0,73.4,27.2,49,"Flender Werke AG, Lubeck",0
315,U-315,VIIC,8/25/1941,07/07/42,07/10/43,5/29/1943,05/09/45,Surrendered,0,,,0,"Flender Werke AG, Lubeck",1
316,U-316,VIIC,8/25/1941,08/11/42,08/05/43,6/19/1943,05/02/45,Scuttled,0,53.59,10.56,0,"Flender Werke AG, Lubeck",0
317,U-317,VIIC/41,10/14/1941,09/12/42,10/23/1943,09/01/43,6/26/1944,Sunk,0,62.03,1.45,50,"Flender Werke AG, Lubeck",0
318,U-318,VIIC/41,10/14/1941,10/14/1942,11/13/1943,9/25/1943,05/09/45,Surrendered,0,,,0,"Flender Werke AG, Lubeck",0
319,U-319,VIIC/41,10/14/1941,11/18/1942,12/04/43,10/16/1943,7/15/1944,Sunk,0,57.4,4.26,51,"Flender Werke AG, Lubeck",0
320,U-320,VIIC/41,10/14/1941,12/01/42,12/30/1943,11/06/43,05/08/45,Scuttled,0,61.32,1.53,0,"Flender Werke AG, Lubeck",0
321,U-321,VIIC/41,10/14/1941,1/21/1943,1/20/1944,11/27/1943,04/02/45,Sunk,0,50,-12.57,41,"Flender Werke AG, Lubeck",0
322,U-322,VIIC/41,10/14/1941,2/13/1943,02/05/44,12/18/1943,12/29/1944,Sunk,0,50.24,-2.26,52,"Flender Werke AG, Lubeck",1
323,U-323,VIIC/41,7/16/1942,03/12/43,03/02/44,01/12/44,05/05/45,Scuttled,0,53.3,8.3,0,"Flender Werke AG, Lubeck",0
324,U-324,VIIC/41,7/16/1942,3/24/1943,04/05/44,02/12/44,05/09/45,Surrendered,0,,,0,"Flender Werke AG, Lubeck",0
325,U-325,VIIC/41,7/16/1942,4/13/1943,05/06/44,3/25/1944,4/30/1945,Sunk,0,49.48,-5.12,52,"Flender Werke AG, Lubeck",0
326,U-326,VIIC/41,7/16/1942,4/26/1943,06/06/44,4/22/1944,4/30/1945,Sunk,0,47.51,-6.46,43,"Flender Werke AG, Lubeck",0
327,U-327,VIIC/41,7/16/1942,4/15/1943,7/18/1944,5/27/1944,02/03/45,Sunk,0,61.21,2,46,"Flender Werke AG, Lubeck",0
328,U-328,VIIC/41,7/16/1942,5/15/1943,9/19/1944,6/24/1944,05/09/45,Surrendered,0,,,0,"Flender Werke AG, Lubeck",0
331,U-331,VIIC,9/23/1939,1/26/1940,3/31/1941,12/20/1940,11/17/1942,Sunk,17,37.05,2.27,32,"Nordseewerke, Emden",1
332,U-332,VIIC,9/23/1939,12/16/1939,06/07/41,3/22/1941,4/29/1943,Sunk,0,45.08,-9.33,45,"Nordseewerke, Emden",8
333,U-333,VIIC,9/23/1939,03/11/40,8/25/1941,6/14/1941,7/31/1944,Sunk,0,49.39,-7.28,45,"Nordseewerke, Emden",7
334,U-334,VIIC,9/23/1939,3/16/1940,10/09/41,8/15/1941,6/14/1943,Sunk,0,58.16,-28.2,47,"Nordseewerke, Emden",2
335,U-335,VIIC,8/15/1940,01/03/41,12/17/1941,10/15/1941,08/03/42,Sunk,0,62.48,-0.12,43,"Nordseewerke, Emden",0
336,U-336,VIIC,8/15/1940,3/28/1941,2/14/1942,12/04/41,10/05/43,Sunk,0,62.43,-27.17,50,"Nordseewerke, Emden",1
337,U-337,VIIC,11/21/1940,04/01/41,05/06/42,3/26/1942,01/03/43,Missing,0,,,47,"Nordseewerke, Emden",0
338,U-338,VIIC,11/21/1940,04/04/41,6/25/1942,4/20/1942,9/20/1943,Missing,0,,,51,"Nordseewerke, Emden",4
339,U-339,VIIC,12/17/1940,07/07/41,8/25/1942,6/30/1942,2/23/1945,Decommissioned,0,,,0,"Nordseewerke, Emden",0
340,U-340,VIIC,12/17/1940,10/01/41,10/16/1942,8/20/1942,11/02/43,Scuttled,48,35.49,-5.14,1,"Nordseewerke, Emden",0
341,U-341,VIIC,1/20/1941,10/28/1941,11/28/1942,10/10/42,9/19/1943,Sunk,0,58.34,-25.3,50,"Nordseewerke, Emden",0
342,U-342,VIIC,1/20/1941,12/07/41,01/12/43,11/10/42,4/17/1944,Sunk,0,60.23,-29.2,51,"Nordseewerke, Emden",0
343,U-343,VIIC,1/20/1941,04/01/42,2/18/1943,12/21/1942,03/10/44,Sunk,0,38.07,9.41,51,"Nordseewerke, Emden",0
344,U-344,VIIC,1/20/1941,05/07/42,3/26/1943,1/29/1943,8/22/1944,Sunk,0,74.54,15.26,50,"Nordseewerke, Emden",1
345,U-345,VIIC,04/10/41,07/09/42,05/04/43,03/11/43,12/23/1943,Decommissioned,0,,,0,"Nordseewerke, Emden",0
346,U-346,VIIC,04/10/41,10/28/1942,06/07/43,4/13/1943,9/20/1943,Sunk,6,54.37,18.5,37,"Nordseewerke, Emden",0
347,U-347,VIIC,04/10/41,10/19/1942,07/07/43,5/21/1943,7/17/1944,Sunk,0,68.36,8.33,49,"Nordseewerke, Emden",0
348,U-348,VIIC,04/10/41,11/17/1942,08/10/43,6/25/1943,3/30/1945,Sunk,0,53.32,9.51,2,"Nordseewerke, Emden",0
349,U-349,VIIC,06/05/41,12/29/1942,09/08/43,7/22/1943,05/05/45,Scuttled,0,,,1,"Nordseewerke, Emden",0
350,U-350,VIIC,06/05/41,2/15/1943,10/07/43,8/17/1943,3/30/1945,Sunk,0,53.32,9.51,0,"Nordseewerke, Emden",0
351,U-351,VIIC,10/09/39,03/04/40,6/20/1941,3/27/1941,05/05/45,Scuttled,0,54.53,9.5,0,"Flensburger Schiffsbau-Ges, Flensburg",0
352,U-352,VIIC,10/09/39,03/11/40,8/28/1941,05/07/41,05/09/42,Sunk,33,34.13,-76.34,15,"Flensburger Schiffsbau-Ges, Flensburg",0
353,U-353,VIIC,10/09/39,3/30/1940,3/31/1942,11/11/41,10/16/1942,Sunk,39,53.54,-29.3,6,"Flensburger Schiffsbau-Ges, Flensburg",0
354,U-354,VIIC,10/09/39,4/15/1940,4/22/1942,01/10/42,8/24/1944,Sunk,0,72.49,30.41,51,"Flensburger Schiffsbau-Ges, Flensburg",1
355,U-355,VIIC,10/26/1939,05/04/40,10/29/1941,07/05/41,04/01/44,Missing,0,,,52,"Flensburger Schiffsbau-Ges, Flensburg",1
356,U-356,VIIC,10/26/1939,05/11/40,12/20/1941,9/17/1941,12/27/1942,Sunk,0,45.3,-25.4,46,"Flensburger Schiffsbau-Ges, Flensburg",3
357,U-357,VIIC,10/26/1939,5/19/1940,6/18/1942,3/31/1942,12/26/1942,Sunk,6,57.1,-15.4,36,"Flensburger Schiffsbau-Ges, Flensburg",0
358,U-358,VIIC,10/26/1939,6/25/1940,8/15/1942,4/30/1942,03/01/44,Sunk,0,45.46,-23.16,50,"Flensburger Schiffsbau-Ges, Flensburg",4
359,U-359,VIIC,08/06/40,06/09/41,10/05/42,06/11/42,7/26/1943,Sunk,0,18.06,-75,47,"Flensburger Schiffsbau-Ges, Flensburg",0
360,U-360,VIIC,08/06/40,08/09/41,11/12/42,7/28/1942,04/02/44,Sunk,0,73.28,13.04,51,"Flensburger Schiffsbau-Ges, Flensburg",1
361,U-361,VIIC,12/07/40,09/12/41,12/18/1942,09/09/42,7/17/1944,Sunk,0,68.35,6,52,"Flensburger Schiffsbau-Ges, Flensburg",0
362,U-362,VIIC,12/07/40,11/09/41,02/04/43,10/21/1942,09/05/44,Sunk,0,75.51,89.27,51,"Flensburger Schiffsbau-Ges, Flensburg",0
363,U-363,VIIC,1/20/1941,12/23/1941,3/18/1943,12/17/1942,05/09/45,Surrendered,0,,,0,"Flensburger Schiffsbau-Ges, Flensburg",0
364,U-364,VIIC,1/20/1941,02/12/42,05/03/43,1/21/1943,1/29/1944,Sunk,0,45.33,-6.05,49,"Flensburger Schiffsbau-Ges, Flensburg",0
365,U-365,VIIC,1/20/1941,4/21/1942,06/08/43,03/09/43,12/13/1944,Sunk,0,70.43,8.07,50,"Flensburger Schiffsbau-Ges, Flensburg",1
366,U-366,VIIC,1/20/1941,5/22/1942,7/16/1943,4/16/1943,03/05/44,Sunk,0,72.1,14.45,50,"Flensburger Schiffsbau-Ges, Flensburg",0
367,U-367,VIIC,8/25/1941,07/06/42,8/27/1943,06/11/43,3/15/1945,Sunk,0,54.36,18.52,43,"Flensburger Schiffsbau-Ges, Flensburg",0
368,U-368,VIIC,8/25/1941,8/20/1942,01/07/44,11/16/1943,05/05/45,Surrendered,0,,,0,"Flensburger Schiffsbau-Ges, Flensburg",0
369,U-369,VIIC,8/25/1941,10/06/42,10/15/1943,8/17/1943,05/09/45,Surrendered,0,,,0,"Flensburger Schiffsbau-Ges, Flensburg",0
370,U-370,VIIC,8/25/1941,11/21/1942,11/19/1943,9/24/1943,05/05/45,Scuttled,0,,,0,"Flensburger Schiffsbau-Ges, Flensburg",2
371,U-371,VIIC,9/23/1939,11/17/1939,3/15/1941,1/27/1941,05/04/44,Sunk,49,37.49,5.39,3,"Howaldtswerke AG, Kiel",8
372,U-372,VIIC,9/23/1939,11/17/1939,4/19/1941,03/08/41,08/04/42,Sunk,48,32.28,34.37,0,"Howaldtswerke AG, Kiel",3
373,U-373,VIIC,9/23/1939,12/08/39,5/22/1941,04/05/41,06/08/44,Sunk,47,48.1,-5.31,4,"Howaldtswerke AG, Kiel",3
374,U-374,VIIC,9/23/1939,12/18/1939,6/21/1941,05/10/41,01/12/42,Sunk,0,37.5,16,42,"Howaldtswerke AG, Kiel",1
375,U-375,VIIC,10/16/1939,3/14/1940,7/19/1941,06/07/41,7/25/1943,Missing,0,,,46,"Howaldtswerke AG, Kiel",8
376,U-376,VIIC,10/16/1939,04/03/40,8/21/1941,07/10/41,04/07/43,Missing,0,,,47,"Howaldtswerke AG, Kiel",2
377,U-377,VIIC,10/16/1939,04/08/40,10/02/41,8/15/1941,1/17/1944,Sunk,0,49.39,-20.1,52,"Howaldtswerke AG, Kiel",0
378,U-378,VIIC,10/16/1939,05/03/40,10/30/1941,9/13/1941,10/20/1943,Sunk,0,47.4,-28.27,48,"Howaldtswerke AG, Kiel",1
379,U-379,VIIC,10/16/1939,5/27/1940,11/29/1941,10/15/1941,08/08/42,Sunk,5,57.11,-30.57,40,"Howaldtswerke AG, Kiel",2
380,U-380,VIIC,10/16/1939,10/01/40,12/22/1941,11/05/41,03/11/44,Sunk,0,43.07,5.55,1,"Howaldtswerke AG, Kiel",2
381,U-381,VIIC,10/16/1939,4/26/1941,2/25/1942,1/14/1942,05/10/43,Missing,0,,,47,"Howaldtswerke AG, Kiel",0
382,U-382,VIIC,10/16/1939,7/30/1941,4/25/1942,3/21/1942,6/30/1944,Decommissioned,0,,,0,"Howaldtswerke AG, Kiel",1
383,U-383,VIIC,8/15/1940,3/29/1941,06/06/42,4/22/1942,08/01/43,Sunk,0,47.24,-12.1,52,"Howaldtswerke AG, Kiel",1
384,U-384,VIIC,8/15/1940,3/29/1941,7/18/1942,5/28/1942,3/19/1943,Sunk,0,54.18,-26.15,47,"Howaldtswerke AG, Kiel",2
385,U-385,VIIC,8/15/1940,5/16/1941,8/29/1942,07/08/42,08/11/44,Sunk,42,46.16,-2.45,1,"Howaldtswerke AG, Kiel",0
386,U-386,VIIC,8/15/1940,5/16/1941,10/10/42,8/19/1942,2/19/1944,Sunk,16,48.51,-22.44,33,"Howaldtswerke AG, Kiel",1
387,U-387,VIIC,11/21/1940,09/05/41,11/24/1942,10/01/42,12/09/44,Sunk,0,69.41,33.12,51,"Howaldtswerke AG, Kiel",0
388,U-388,VIIC,11/21/1940,09/12/41,12/31/1942,11/12/42,6/20/1943,Sunk,0,57.36,-31.2,47,"Howaldtswerke AG, Kiel",0
389,U-389,VIIC,11/21/1940,12/03/41,02/06/43,12/19/1942,10/04/43,Sunk,0,60.51,-28.26,50,"Howaldtswerke AG, Kiel",0
390,U-390,VIIC,11/21/1940,12/06/41,3/13/1943,1/23/1943,07/05/44,Sunk,0,49.52,-0.48,48,"Howaldtswerke AG, Kiel",1
391,U-391,VIIC,1/20/1941,01/09/42,4/24/1943,03/05/43,12/13/1943,Sunk,0,45.45,-9.38,51,"Howaldtswerke AG, Kiel",0
392,U-392,VIIC,1/20/1941,01/10/42,5/29/1943,04/10/43,3/16/1944,Sunk,0,35.55,-5.41,52,"Howaldtswerke AG, Kiel",0
393,U-393,VIIC,1/20/1941,04/08/42,07/03/43,5/15/1943,05/05/45,Scuttled,0,54.52,9.37,2,"Howaldtswerke AG, Kiel",0
394,U-394,VIIC,1/20/1941,3/31/1942,08/07/43,6/19/1943,09/02/44,Sunk,0,69.47,4.1,50,"Howaldtswerke AG, Kiel",0
396,U-396,VIIC,1/20/1941,06/06/42,10/16/1943,8/27/1943,04/11/45,Missing,0,,,45,"Howaldtswerke AG, Kiel",0
397,U-397,VIIC,1/20/1941,8/29/1942,11/20/1943,10/06/43,05/05/45,Scuttled,0,,,0,"Howaldtswerke AG, Kiel",0
398,U-398,VIIC,1/20/1941,8/26/1942,12/18/1943,11/06/43,4/17/1945,Missing,0,,,43,"Howaldtswerke AG, Kiel",0
399,U-399,VIIC,8/25/1941,11/12/42,1/22/1944,12/04/43,3/26/1945,Sunk,0,49.56,-5.22,46,"Howaldtswerke AG, Kiel",1
400,U-400,VIIC,8/25/1941,11/18/1942,3/18/1944,01/08/44,12/14/1944,Sunk,0,50.33,-5.11,50,"Howaldtswerke AG, Kiel",0
401,U-401,VIIC,9/23/1939,04/08/40,04/10/41,12/16/1940,08/03/41,Sunk,0,50.3,-19.35,45,"Danziger Werft AG, Danzig",0
402,U-402,VIIC,9/23/1939,4/22/1940,5/21/1941,12/28/1940,10/13/1943,Sunk,0,48.56,-29.41,50,"Danziger Werft AG, Danzig",14
403,U-403,VIIC,9/23/1939,5/20/1940,6/25/1941,2/26/1941,8/18/1943,Sunk,0,13.42,-17.36,49,"Danziger Werft AG, Danzig",2
404,U-404,VIIC,9/23/1939,06/04/40,08/06/41,06/04/41,7/28/1943,Sunk,0,45.53,-9.25,51,"Danziger Werft AG, Danzig",14
405,U-405,VIIC,10/16/1939,07/08/40,9/17/1941,06/04/41,11/01/43,Sunk,0,49,-31.14,49,"Danziger Werft AG, Danzig",2
406,U-406,VIIC,10/16/1939,09/06/40,10/22/1941,6/16/1941,2/18/1944,Sunk,45,48.32,-23.36,12,"Danziger Werft AG, Danzig",1
407,U-407,VIIC,10/16/1939,09/12/40,12/18/1941,8/16/1941,9/19/1944,Sunk,48,36.27,24.33,5,"Danziger Werft AG, Danzig",3
408,U-408,VIIC,10/16/1939,9/30/1940,11/19/1941,7/16/1941,11/05/42,Sunk,0,67.4,-18.32,45,"Danziger Werft AG, Danzig",3
409,U-409,VIIC,10/30/1939,10/26/1940,1/21/1942,9/23/1941,07/12/43,Sunk,37,37.12,4,11,"Danziger Werft AG, Danzig",4
410,U-410,VIIC,10/30/1939,01/09/41,2/23/1942,10/14/1941,03/11/44,Sunk,0,43.07,5.55,0,"Danziger Werft AG, Danzig",7
411,U-411,VIIC,10/30/1939,1/28/1941,3/18/1942,11/15/1941,11/13/1942,Sunk,0,36,-9.35,46,"Danziger Werft AG, Danzig",0
412,U-412,VIIC,10/30/1939,03/07/41,4/29/1942,12/15/1941,10/22/1942,Sunk,0,63.55,0.24,47,"Danziger Werft AG, Danzig",0
413,U-413,VIIC,8/15/1940,4/25/1941,06/03/42,1/15/1942,8/20/1944,Sunk,0,50.21,-0.01,45,"Danziger Werft AG, Danzig",5
414,U-414,VIIC,8/15/1940,6/14/1941,07/01/42,3/25/1942,5/25/1943,Sunk,0,36.31,0.4,47,"Danziger Werft AG, Danzig",1
415,U-415,VIIC,8/15/1940,07/12/41,08/05/42,05/09/42,7/14/1944,Sunk,0,48.22,-4.29,2,"Danziger Werft AG, Danzig",1
416,U-416,VIIC,8/15/1940,08/11/41,11/04/42,05/09/42,04/08/43,Decommissioned,0,54.51,14.35,0,"Danziger Werft AG, Danzig",0
417,U-417,VIIC,1/20/1941,9/16/1941,9/26/1942,06/06/42,06/11/43,Sunk,0,63.2,-10.3,46,"Danziger Werft AG, Danzig",0
418,U-418,VIIC,1/20/1941,10/21/1941,10/21/1942,07/11/42,5/30/1943,Sunk,0,47,-14,48,"Danziger Werft AG, Danzig",0
419,U-419,VIIC,1/20/1941,11/07/41,11/18/1942,8/22/1942,10/08/43,Sunk,0,56.31,-27.05,48,"Danziger Werft AG, Danzig",0
420,U-420,VIIC,1/20/1941,12/03/41,12/16/1942,8/18/1942,10/20/1943,Missing,0,,,49,"Danziger Werft AG, Danzig",0
421,U-421,VIIC,04/10/41,1/20/1942,1/13/1943,9/24/1942,4/29/1944,Sunk,0,43.07,5.55,0,"Danziger Werft AG, Danzig",0
422,U-422,VIIC,04/10/41,02/11/42,02/10/43,10/10/42,10/04/43,Sunk,0,43.13,-28.58,49,"Danziger Werft AG, Danzig",0
423,U-423,VIIC,04/10/41,3/16/1942,03/03/43,11/07/42,6/17/1944,Sunk,0,63.06,2.05,53,"Danziger Werft AG, Danzig",0
424,U-424,VIIC,04/10/41,4/16/1942,04/07/43,11/28/1942,02/11/44,Sunk,0,50,-18.14,50,"Danziger Werft AG, Danzig",0
425,U-425,VIIC,06/05/41,5/23/1942,4/21/1943,12/19/1942,2/17/1945,Sunk,0,69.39,35.5,52,"Danziger Werft AG, Danzig",0
426,U-426,VIIC,06/05/41,6/20/1942,05/12/43,02/06/43,01/08/44,Sunk,0,46.47,-10.42,51,"Danziger Werft AG, Danzig",1
427,U-427,VIIC,06/05/41,7/27/1942,06/02/43,02/06/43,05/09/45,Surrendered,0,,,0,"Danziger Werft AG, Danzig",0
428,U-428,VIIC,06/05/41,8/13/1942,6/26/1943,03/11/43,09/10/43,Given,0,,,0,"Danziger Werft AG, Danzig",0
429,U-429,VIIC,8/25/1941,9/14/1942,7/14/1943,3/30/1943,09/10/43,Given,0,,,0,"Danziger Werft AG, Danzig",0
430,U-430,VIIC,8/25/1941,10/05/42,08/04/43,4/22/1943,09/10/43,Given,0,,,0,"Danziger Werft AG, Danzig",0
431,U-431,VIIC,9/23/1939,01/04/40,04/05/41,02/02/41,10/21/1943,Sunk,0,37.23,0.35,52,"F Schichau GmbH, Danzig",6
432,U-432,VIIC,9/23/1939,1/14/1940,4/26/1941,02/03/41,03/11/43,Sunk,20,51.35,-28.2,26,"F Schichau GmbH, Danzig",20
433,U-433,VIIC,9/23/1939,01/04/40,5/24/1941,3/15/1941,11/16/1941,Sunk,38,36.13,-4.42,6,"F Schichau GmbH, Danzig",1
434,U-434,VIIC,9/23/1939,1/20/1940,6/21/1941,3/15/1941,12/18/1941,Sunk,42,36.15,-15.48,2,"F Schichau GmbH, Danzig",0
435,U-435,VIIC,10/16/1939,04/11/40,8/30/1941,5/31/1941,07/09/43,Sunk,0,39.2,-13,48,"F Schichau GmbH, Danzig",9
436,U-436,VIIC,10/16/1939,4/25/1940,9/27/1941,6/21/1941,5/26/1943,Sunk,0,43.49,-15.56,47,"F Schichau GmbH, Danzig",6
437,U-437,VIIC,10/16/1939,4/16/1940,10/25/1941,7/26/1941,10/04/44,Damaged,0,,,0,"F Schichau GmbH, Danzig",0
438,U-438,VIIC,10/16/1939,4/25/1940,11/22/1941,09/06/41,05/06/43,Sunk,0,52,-45.1,48,"F Schichau GmbH, Danzig",3
439,U-439,VIIC,01/05/40,10/01/40,12/20/1941,10/11/41,05/04/43,Sunk,9,43.32,-13.2,40,"F Schichau GmbH, Danzig",0
440,U-440,VIIC,01/05/40,10/01/40,1/24/1942,11/08/41,5/31/1943,Sunk,0,45.38,-13.04,46,"F Schichau GmbH, Danzig",0
441,U-441,VIIC,01/05/40,10/15/1940,2/21/1942,12/13/1941,6/30/1944,Sunk,0,49.37,-3.41,51,"F Schichau GmbH, Danzig",1
442,U-442,VIIC,01/05/40,10/19/1940,3/21/1942,1/17/1942,02/12/43,Sunk,0,37.32,-11.56,48,"F Schichau GmbH, Danzig",4
443,U-443,VIIC,4/13/1940,02/10/41,4/18/1942,1/31/1942,2/23/1943,Sunk,0,36.55,2.25,48,"F Schichau GmbH, Danzig",3
444,U-444,VIIC,4/13/1940,02/10/41,05/09/42,2/26/1942,03/11/43,Sunk,4,51.14,-29.18,41,"F Schichau GmbH, Danzig",0
445,U-445,VIIC,08/06/40,04/09/41,5/30/1942,3/19/1942,8/24/1944,Sunk,0,47.21,-5.5,52,"F Schichau GmbH, Danzig",0
446,U-446,VIIC,08/06/40,04/09/41,6/20/1942,04/11/42,9/21/1942,Sunk,18,54.27,18.55,23,"F Schichau GmbH, Danzig",0
447,U-447,VIIC,08/06/40,07/01/41,07/11/42,4/30/1942,05/07/43,Sunk,0,35.3,-11.55,48,"F Schichau GmbH, Danzig",0
448,U-448,VIIC,08/06/40,07/01/41,08/01/42,5/23/1942,4/14/1944,Sunk,42,46.22,-19.35,9,"F Schichau GmbH, Danzig",0
