id,name,type,ordered,laid_down,commissioned,launched,fate,fate_type,fate_survivors,fate_lat,fat_lon,fate_dead,shipyard,ships_sunk
147,U-147,IID,9/25/1939,04/10/40,12/11/40,11/16/1940,06/02/41,Sunk,0,56.38,-10.24,26,"Deutsche Werke AG, Kiel",2
148,U-148,IID,9/25/1939,04/10/40,12/28/1940,11/16/1940,05/05/45,Scuttled,0,,,0,"Deutsche Werke AG, Kiel",0
149,U-149,IID,9/25/1939,5/25/1940,11/13/1940,10/19/1940,05/05/45,Surrendered,0,,,0,"Deutsche Werke AG, Kiel",1
150,U-150,IID,9/25/1939,5/25/1940,11/27/1940,10/19/1940,05/05/45,Surrendered,0,,,0,"Deutsche Werke AG, Kiel",0
151,U-151,IID,9/25/1939,07/06/40,1/15/1941,12/14/1940,05/05/45,Scuttled,0,,,0,"Deutsche Werke AG, Kiel",0
152,U-152,IID,9/25/1939,07/06/40,1/29/1941,12/14/1940,05/05/45,Scuttled,0,,,0,"Deutsche Werke AG, Kiel",0
153,U-153,IXC,9/25/1939,09/12/40,7/19/1941,04/05/41,07/06/42,Sunk,0,12.5,-72.2,52,"AG Weser, Bremen",3
154,U-154,IXC,9/25/1939,9/21/1940,08/02/41,4/21/1941,07/03/44,Sunk,0,34,-19.3,57,"AG Weser, Bremen",10
155,U-155,IXC,9/25/1939,10/01/40,8/23/1941,05/12/41,05/05/45,Surrendered,0,,,0,"AG Weser, Bremen",25
156,U-156,IXC,9/25/1939,10/11/40,09/04/41,5/21/1941,03/08/43,Sunk,0,12.38,-54.39,53,"AG Weser, Bremen",19
157,U-157,IXC,9/25/1939,10/21/1940,9/15/1941,06/05/41,6/13/1942,Sunk,0,24.13,-82.03,52,"AG Weser, Bremen",1
158,U-158,IXC,9/25/1939,11/01/40,9/25/1941,6/21/1941,6/30/1942,Sunk,0,32.5,-67.28,54,"AG Weser, Bremen",17
159,U-159,IXC,12/23/1939,11/11/40,10/04/41,07/01/41,7/28/1943,Sunk,0,15.57,-68.3,53,"AG Weser, Bremen",23
160,U-160,IXC,12/23/1939,11/21/1940,10/16/1941,07/12/41,7/14/1943,Sunk,0,33.54,-27.13,57,"AG Weser, Bremen",26
161,U-161,IXC,9/25/1939,3/23/1940,07/08/41,03/01/41,9/27/1943,Sunk,0,-12.3,-35.35,53,"Deutsche Schiff und Maschinenbau AG, Bremen",12
162,U-162,IXC,9/25/1939,4/19/1940,09/09/41,03/01/41,09/03/42,Sunk,49,12.21,-59.29,2,"Deutsche Schiff und Maschinenbau AG, Bremen",14
163,U-163,IXC,9/25/1939,05/08/40,10/21/1941,05/01/41,3/13/1943,Sunk,0,45.05,-15,57,"Deutsche Schiff und Maschinenbau AG, Bremen",3
164,U-164,IXC,9/25/1939,6/20/1940,11/28/1941,05/01/41,01/06/43,Sunk,2,-1.58,-39.22,54,"Deutsche Schiff und Maschinenbau AG, Bremen",3
165,U-165,IXC,9/25/1939,8/30/1940,02/03/42,8/15/1941,9/27/1942,Sunk,0,47,-5.3,51,"Deutsche Schiff und Maschinenbau AG, Bremen",2
166,U-166,IXC,9/25/1939,12/06/40,3/23/1942,11/01/41,7/30/1942,Sunk,0,28.4,-88.3,52,"Deutsche Schiff und Maschinenbau AG, Bremen",4
167,U-167,IXC/40,8/15/1940,03/12/41,07/04/42,03/05/42,04/06/43,Scuttled,50,27.47,-15,0,"Deutsche Schiff und Maschinenbau AG, Bremen",1
168,U-168,IXC/40,8/15/1940,3/15/1941,09/10/42,03/05/42,10/06/44,Sunk,27,-6.2,111.28,23,"Deutsche Schiff und Maschinenbau AG, Bremen",2
169,U-169,IXC/40,8/15/1940,5/15/1941,11/16/1942,06/06/42,3/27/1943,Sunk,0,60.54,-15.25,54,"Deutsche Schiff und Maschinenbau AG, Bremen",0
170,U-170,IXC/40,8/15/1940,5/21/1941,1/19/1943,06/06/42,05/09/45,Surrendered,0,,,0,"Deutsche Schiff und Maschinenbau AG, Bremen",1
171,U-171,IXC,12/23/1939,12/01/40,10/25/1941,7/22/1941,10/09/42,Sunk,30,47.39,-3.34,22,"AG Weser, Bremen",3
172,U-172,IXC,12/23/1939,12/11/40,11/05/41,7/31/1941,12/13/1943,Sunk,46,26.29,-29.58,13,"AG Weser, Bremen",26
173,U-173,IXC,12/23/1939,12/21/1940,11/15/1941,08/11/41,11/16/1942,Sunk,0,33.4,-7.35,57,"AG Weser, Bremen",1
174,U-174,IXC,12/23/1939,01/02/41,11/26/1941,8/21/1941,4/27/1943,Sunk,0,43.35,-56.18,53,"AG Weser, Bremen",5
175,U-175,IXC,12/23/1939,1/30/1941,12/05/41,09/02/41,4/17/1943,Sunk,41,47.53,-22.04,13,"AG Weser, Bremen",10
176,U-176,IXC,12/23/1939,02/06/41,12/15/1941,09/12/41,5/15/1943,Sunk,0,23.21,-80.18,53,"AG Weser, Bremen",11
177,U-177,IXD2,5/28/1940,11/25/1940,3/14/1942,10/01/41,02/06/44,Sunk,15,-10.35,-23.15,50,"AG Weser, Bremen",14
178,U-178,IXD2,5/28/1940,12/24/1940,2/14/1942,10/25/1941,8/25/1944,Scuttled,0,,,0,"AG Weser, Bremen",13
179,U-179,IXD2,5/28/1940,1/15/1941,03/07/42,11/18/1941,10/08/42,Sunk,0,-33.28,17.05,61,"AG Weser, Bremen",1
180,U-180,IXD1,5/28/1940,2/25/1941,5/16/1942,12/10/41,8/23/1944,Missing,0,44,-2,0,"AG Weser, Bremen",2
181,U-181,IXD2,8/15/1940,3/15/1941,05/09/42,12/30/1941,05/05/45,Given,0,,,0,"AG Weser, Bremen",27
182,U-182,IXD2,8/15/1940,04/07/41,6/30/1942,03/03/42,5/16/1943,Sunk,0,33.55,-20.35,61,"AG Weser, Bremen",5
183,U-183,IXC/40,8/15/1940,5/28/1941,04/01/42,01/09/42,4/23/1945,Sunk,0,-4.56,112.55,54,"AG Weser, Bremen",4
184,U-184,IXC/40,8/15/1940,06/10/41,5/29/1942,2/21/1942,11/21/1942,Missing,0,,,50,"AG Weser, Bremen",1
185,U-185,IXC/40,8/15/1940,07/01/41,6/13/1942,03/02/42,8/24/1943,Sunk,22,27,-37.06,29,"AG Weser, Bremen",9
186,U-186,IXC/40,8/15/1940,7/24/1941,07/10/42,03/11/42,05/12/43,Sunk,0,41.54,-31.49,53,"AG Weser, Bremen",3
187,U-187,IXC/40,8/15/1940,08/06/41,7/23/1942,3/16/1942,02/04/43,Sunk,45,50.12,-36.35,9,"AG Weser, Bremen",0
188,U-188,IXC/40,8/15/1940,8/18/1941,08/05/42,3/31/1942,8/20/1944,Decommissioned,0,,,0,"AG Weser, Bremen",8
189,U-189,IXC/40,11/04/40,09/12/41,8/15/1942,05/01/42,4/23/1943,Sunk,0,59.5,-34.43,54,"AG Weser, Bremen",0
190,U-190,IXC/40,11/04/40,10/07/41,9/24/1942,06/08/42,5/14/1945,Surrendered,0,,,0,"AG Weser, Bremen",1
191,U-191,IXC/40,11/04/40,11/02/41,10/20/1942,07/03/42,4/23/1943,Sunk,0,56.45,-34.25,55,"AG Weser, Bremen",1
192,U-192,IXC/40,11/04/40,11/27/1941,11/16/1942,7/30/1942,05/06/43,Sunk,0,53.06,-45.02,55,"AG Weser, Bremen",0
193,U-193,IXC/40,11/04/40,12/22/1941,12/10/42,8/24/1942,4/24/1944,Missing,0,,,59,"AG Weser, Bremen",1
194,U-194,IXC/40,11/04/40,1/17/1942,01/08/43,9/22/1942,6/24/1943,Sunk,0,59,-26.18,54,"AG Weser, Bremen",0
195,U-195,IXD1,11/04/40,5/15/1941,09/05/42,04/08/42,05/05/45,Given,0,,,0,"AG Weser, Bremen",2
196,U-196,IXD2,11/04/40,06/10/41,09/11/42,4/24/1942,12/01/44,Missing,0,,,65,"AG Weser, Bremen",3
197,U-197,IXD2,11/04/40,07/05/41,10/10/42,5/21/1942,8/20/1943,Sunk,0,-28.4,42.36,67,"AG Weser, Bremen",3
198,U-198,IXD2,11/04/40,08/01/41,11/03/42,6/15/1942,08/12/44,Sunk,0,-3.35,52.49,66,"AG Weser, Bremen",11
199,U-199,IXD2,11/04/40,10/10/41,11/28/1942,07/11/42,7/31/1943,Sunk,12,-23.54,-42.54,49,"AG Weser, Bremen",2
200,U-200,IXD2,11/04/40,11/03/41,12/22/1942,08/10/42,6/24/1943,Sunk,0,58.15,-25.25,68,"AG Weser, Bremen",0
201,U-201,VIIC,9/23/1939,1/20/1940,1/25/1941,12/07/40,2/17/1943,Sunk,0,50.5,-40.5,49,"F. Krupp Germaniawerft AG, Kiel",22
202,U-202,VIIC,9/23/1939,3/18/1940,3/22/1941,02/10/41,06/02/43,Sunk,30,56.12,-39.52,18,"F. Krupp Germaniawerft AG, Kiel",9
203,U-203,VIIC,9/23/1939,3/28/1940,2/18/1941,01/04/41,4/25/1943,Sunk,38,55.05,-42.25,10,"F. Krupp Germaniawerft AG, Kiel",21
204,U-204,VIIC,9/23/1939,4/22/1940,03/08/41,1/23/1941,10/19/1941,Sunk,0,35.46,-6.02,46,"F. Krupp Germaniawerft AG, Kiel",4
205,U-205,VIIC,10/16/1939,6/19/1940,05/03/41,3/20/1941,2/17/1943,Damaged,0,33.08,22.18,0,"F. Krupp Germaniawerft AG, Kiel",1
206,U-206,VIIC,10/16/1939,6/17/1940,5/17/1941,04/04/41,11/29/1941,Missing,0,47.05,-2.4,46,"F. Krupp Germaniawerft AG, Kiel",2
207,U-207,VIIC,10/16/1939,8/14/1940,06/07/41,4/24/1941,09/11/41,Sunk,0,63.59,-34.48,41,"F. Krupp Germaniawerft AG, Kiel",2
208,U-208,VIIC,10/16/1939,08/05/40,07/05/41,5/21/1941,12/07/41,Sunk,0,35.51,-7.45,45,"F. Krupp Germaniawerft AG, Kiel",1
209,U-209,VIIC,10/16/1939,11/28/1940,10/11/41,8/28/1941,05/06/43,Missing,0,52,-38,0,"F. Krupp Germaniawerft AG, Kiel",4
210,U-210,VIIC,10/16/1939,3/15/1941,2/21/1942,12/23/1941,08/06/42,Sunk,37,54.24,-39.37,6,"F. Krupp Germaniawerft AG, Kiel",0
211,U-211,VIIC,10/16/1939,3/29/1941,03/07/42,1/15/1942,11/19/1943,Sunk,0,40.15,-19.18,54,"F. Krupp Germaniawerft AG, Kiel",1
212,U-212,VIIC,10/16/1939,5/17/1941,4/25/1942,03/11/42,7/21/1944,Sunk,0,50.27,-0.13,49,"F. Krupp Germaniawerft AG, Kiel",1
213,U-213,VIID,2/16/1940,10/01/40,8/30/1941,7/24/1941,7/31/1942,Sunk,0,36.45,-22.5,50,"F. Krupp Germaniawerft AG, Kiel",0
214,U-214,VIID,2/16/1940,10/05/40,11/01/41,9/18/1941,7/26/1944,Sunk,0,49.58,-3.3,48,"F. Krupp Germaniawerft AG, Kiel",3
215,U-215,VIID,2/16/1940,11/15/1940,11/22/1941,10/09/41,07/03/42,Sunk,0,41.48,-66.38,48,"F. Krupp Germaniawerft AG, Kiel",1
216,U-216,VIID,2/16/1940,01/01/41,12/15/1941,10/23/1941,10/20/1942,Sunk,0,48.21,-19.25,45,"F. Krupp Germaniawerft AG, Kiel",1
217,U-217,VIID,2/16/1940,1/30/1941,1/31/1942,11/15/1941,06/05/43,Sunk,0,30.18,-42.5,50,"F. Krupp Germaniawerft AG, Kiel",3
218,U-218,VIID,2/16/1940,3/17/1941,1/24/1942,12/05/41,05/12/45,Surrendered,0,,,0,"F. Krupp Germaniawerft AG, Kiel",2
